"Rank","unitid","CONTACTED? (Y/N)","DATE OF CONTACT","RESPONSE? (Y/N/NO-RESPONSE)","IF NO, REASON? (OPEN RESPONSE)"
499,"141237","","","",""
500,"187134","","","",""
501,"173258","","","",""
502,"418302","","","",""
503,"250993","","","",""
504,"237066","","","",""
505,"130794","","","",""
506,"112561","","","",""
507,"221999","","","",""
508,"196149","","","",""
509,"147916","","","",""
510,"183141","","","",""
511,"191931","","","",""
512,"229160","","","",""
513,"155098","","","",""
514,"123554","","","",""
515,"170055","","","",""
516,"152099","","","",""
517,"196167","","","",""
518,"135726","","","",""
519,"238078","","","",""
520,"142294","","","",""
521,"225371","","","",""
522,"221643","","","",""
523,"240116","","","",""
524,"226231","","","",""
525,"202073","","","",""
526,"167792","","","",""
527,"121886","","","",""
528,"191199","","","",""
529,"105525","","","",""
530,"230959","","","",""
531,"174817","","","",""
532,"153603","","","",""
533,"490805","","","",""
534,"214111","","","",""
535,"197708","","","",""
536,"460394","","","",""
537,"121044","","","",""
538,"224226","","","",""
539,"122339","","","",""
540,"223506","","","",""
541,"200192","","","",""
542,"210906","","","",""
543,"236258","","","",""
544,"183080","","","",""
545,"206084","","","",""
546,"240365","","","",""
547,"192110","","","",""
548,"229832","","","",""
549,"217156","","","",""
550,"227304","","","",""
551,"154004","","","",""
552,"136172","","","",""
553,"174428","","","",""
554,"126711","","","",""
555,"153269","","","",""
556,"231712","","","",""
557,"238722","","","",""
558,"462354","","","",""
559,"229018","","","",""
560,"232195","","","",""
561,"219000","","","",""
562,"163268","","","",""
563,"154129","","","",""
564,"367459","","","",""
565,"230852","","","",""
566,"185509","","","",""
567,"164562","","","",""
568,"117751","","","",""
569,"155715","","","",""
570,"240693","","","",""
571,"172617","","","",""
572,"117788","","","",""
573,"185873","","","",""
574,"174570","","","",""
575,"153241","","","",""
576,"162779","","","",""
577,"418296","","","",""
578,"231697","","","",""
579,"366340","","","",""
580,"214777","","","",""
581,"139144","","","",""
582,"430704","","","",""
