"Rank","UNITID","INSTNM","ADDR","State","ZIP","GENTELE","WEBADDR","CONTACTED? (Y/N)","DATE OF CONTACT","RESPONSE? (Y/N/NO-RESPONSE)","IF NO, REASON? (OPEN RESPONSE)"
251,228884,"Texas College","2404 N. Grand Avenue","TX","75702",90359383112297,"www.texascollege.edu","","","",""
252,165264,"Laboure College","303 Adams Street","MA","02186",6172968300,"www.laboure.edu/about-labour-","","","",""
253,189413,"Boricua College","3755 Broadway","NY","10032-1560",2126941000,"boricuacollege.edu","","","",""
254,104586,"Embry-Riddle Aeronautical University-Prescott","3700 Willow Creek Road","AZ","86301-3720",9287776600,"prescott.erau.edu/","","","",""
255,125727,"Westmont College","955 La Paz Rd","CA","93108-1089",8055656000,"www.westmont.edu","","","",""
256,183239,"Saint Anselm College","100 Saint Anselm Drive","NH","03102-1310",6036417000,"www.anselm.edu","","","",""
257,223463,"Remington College-Dallas Campus","1800 Eastgate Dr","TX","75041",9726867878,"www.remingtoncollege.edu/dallas-texas-career-schools-overview","","","",""
258,217721,"Benedict College","1600 Harden Street","SC","29204-1086",8032564220,"www.benedict.edu","","","",""
259,412599,"Remington College-Memphis Campus","2710 Nonconnah Blvd","TN","38132",9012914239,"www.remingtoncollege.edu/memphis-tennessee-career-colleges-overview","","","",""
260,488679,"Indiana Wesleyan University-National & Global","1900 West 50th Street","IN","46953",7656772870,"https://www.indwes.edu","","","",""
261,148876,"Saint Augustine College","1333-45 W. Argyle St.","IL","60640-3593",7738788756,"www.staugustine.edu","","","",""
262,376385,"Universal Technology College of Puerto Rico","111 Comercio St","PR","00603",7878822065239,"www.unitecpr.edu","","","",""
263,220604,"Le Moyne-Owen College","807 Walker Ave","TN","38126-6595",9014351000,"www.loc.edu","","","",""
264,375416,"Remington College-Cleveland Campus","14445 Broadway Ave","OH","44125-1957",4407772560,"www.remingtoncollege.edu/cleveland-ohio-career-schools-overview","","","",""
265,101675,"Miles College","5500 Myron Massey Blvd","AL","35064-2621",20592910001645,"www.miles.edu","","","",""
266,196680,"Excelsior College","7 Columbia Cir","NY","12203-5159",5184648500,"www.excelsior.edu","","","",""
267,163912,"St Mary's College of Maryland","18952 East Fisher Road","MD","20686",2408952000,"www.smcm.edu","","","",""
268,139393,"Covenant College","14049 Scenic Highway","GA","30750-4164",7068201560,"www.covenant.edu","","","",""
269,213598,"Lincoln University","1570 Baltimore Pike","PA","19352-0999",4843658000,"www.lincoln.edu/","","","",""
270,128780,"Charter Oak State College","55 Paul Manafort Drive","CT","06053",8605153800,"www.charteroak.edu","","","",""
271,106306,"Arkansas Baptist College","1600 Dr. Martin Luther King Drive","AR","72202-6068",5014201200,"www.arkansasbaptist.edu","","","",""
272,440651,"Atenas College","Paseo del Atenas  #101","PR","00674-0000",7878843838,"www.atenascollege.edu","","","",""
273,199582,"Saint Augustine's University","1315 Oakwood Avenue","NC","27610-2298",9195164000,"www.st-aug.edu","","","",""
274,144005,"Chicago State University","9501 S. King Drive","IL","60628-1598",7739952000,"www.csu.edu","","","",""
275,234155,"Virginia State University","1 Hayden Drive","VA","23806",8045245000,"www.vsu.edu","","","",""
276,156408,"Centre College","625 W Walnut St","KY","40422-1394",8592385200,"www.centre.edu","","","",""
277,100724,"Alabama State University","915 S Jackson Street","AL","36104-0271",3342294100,"www.alasu.edu","","","",""
278,100654,"Alabama A & M University","4900 Meridian Street","AL","35762",2563725000,"www.aamu.edu/","","","",""
279,476975,"Colorado State University-Global Campus","7800 East Orchard Road Ste 200","CO","80111-0000",8009206723,"https://csuglobal.edu","","","",""
280,450173,"Ultimate Medical Academy-Tampa","9309 N Florida Ave Ste 100","FL","33612-7237",8133866350,"www.ultimatemedical.edu","","","",""
281,218733,"South Carolina State University","300 College St NE","SC","29117-0001",8035367000,"www.scsu.edu","","","",""
282,483036,"Texas A & M University-Central Texas","1001 Leadership Place","TX","76549",2545195400,"tamuct.edu","","","",""
283,207209,"Langston University","102 Page Hall","OK","73050",4054663428,"www.langston.edu","","","",""
284,175342,"Alcorn State University","1000 ASU Dr Ste 359","MS","39096-7500",6018776100,"www.alcorn.edu","","","",""
285,163204,"University of Maryland-University College","3501 University Blvd East","MD","20783-8010",3019857000,"www.umuc.edu","","","",""
